id,Address,Name,City,Time,Latitude,Longitude,timestamp
1,S. Daukanto g. 23,Restoranas,Kaunas,3/7/2020 18:00,54.8980147,23.9134134,1583596800.0
2,Kernaves g. 84,Compensa koncertu sale,Vilnius,3/8/2020 18:00,54.71158055,25.276634955021272,1583683200.0
3,V. Grybo g. 21,Šilo Maxima,Vilnius,3/9/2020 17:45,54.7038389,25.31625983777721,1583768700.0
4,Saltoniškių g. 9,PC Panorama,Vilnius,3/11/2020 18:00,54.6993582,25.2583631,1583942400.0
5,Vytauto pr. 24,Kauno stotis,Kaunas,3/10/2020 16:00,54.8890485,23.9278384,1583848800.0
6,Sodų g. 22, Vilniaus stotis,Vilnius,3/10/2020 17:00,54.67076335,25.281826183671466,1583852400.0
7,Senasis Ukmergės kl. 8,IKI,Bendoriai,3/13/2020 16:00,54.769640599999995,25.195239800000003,1584108000.0
8,Tuskulėnų g. 66,Tuskulėnų Maxima,Vilnius,3/14/2020 13:00,54.70202915,25.288967765597164,1584183600.0
9,Ukmergės g. 282,Ukmergės Maxima,Vilnius,3/13/2020 21:00,54.72769525,25.23909556047662,1584126000.0
10,Venecijos akl. 2,Atostogų parkas,Žibininkai,3/10/2020 6:00,55.95819,21.124457800000002,1583812800.0
11,Paupio g. 1a,Rietavo šeimos daktaras,Rietavas,3/12/2020 6:00,55.7251985,21.929251,1583985600.0
12,Sabališkių g. 1,Norfa XXL,Elektrėnai,3/13/2020 16:00,54.7878058,24.6803446,1584108000.0
13,Ateities g. 10,Norfa,Vilnius,3/14/2020 15:00,54.7368678,25.2679029,1584190800.0
14,Nemenčinės pl. 2,IKI,Vilnius,3/14/2020 14:00,54.72415264999999,25.319595636223475,1584187200.0
15,Oro uosto g. 4,Kauno oro uostas,Kaunas,2/24/2020 15:30,54.9671759,24.0740002,1582551000.0
16,Karaliaus Mindaugo pr. 49,Kauno Akropolis,Kaunas,3/7/2020 6:00,54.8905008,23.9196209,1583553600.0
17,Oro uosto g. 4,Kauno oro uostas,Kaunas,2/29/2020 6:00,54.9671759,24.0740002,1582948800.0
18,Liepojos pl. 1,Palangos oro uostas,Palanga,3/9/2020 0:10,55.97145935,21.09728937060913,1583705400.0
19,Rodūnios kl. 10A,Vilniaus oro uostas,Vilnius,3/8/2020 14:20,54.6408829,25.269797600000004,1583670000.0
20,Oro uosto g. 4,Kauno oro uostas,Kaunas,3/10/2020 14:20,54.9671759,24.0740002,1583842800.0
21,Sodų g. 22, Vilniaus stotis,Vilnius,3/11/2020 14:50,54.67076335,25.281826183671466,1583931000.0
